categoria,item
Salgadinhos Quentes,Mini coxinha de frango
Salgadinhos Quentes,Mini bolinhas de queijo
Salgadinhos Quentes,Mini Croquete de carne
Salgadinhos Quentes,Mini risole de camarão
Salgadinhos Quentes,Mini Kibe
Salgadinhos Quentes,Pastelzinho de vento
Finger Foods,Caranguejo com farofa crocante
Finger Foods,Rondelli de Ricota com jambú
Finger Foods,Camarão empanado na tapioca com geleia de pimenta
Finger Foods,Dadinho de tapioca com queijo qualho
Finger Foods,Suflê de Bacalhau
Finger Foods,Panceta suína com cuscuz marroquino
Finger Foods,Escondidinho de carne sêca com purê de mandioquinha
Prato Principal,Filé com queijo do marajó
Prato Principal,Filé Rotti com champignon
Prato Principal,Filé com crispis de alho Poró
Prato Principal,Risoto de Costelinha suína com shitake
Prato Principal,Camarão ao molho gorgonzola
Prato Principal,Fettuccine ao molho de camarão finalizado com queijo cuia
Prato Principal,Massa puxada no queijo Grana padano Fettuccine
Prato Principal,Bacalhau Gratinado
Prato Principal,Bacalhau Gomes de Sá
Prato Principal,Arroz de Pato com tucupi e jambú
Prato Principal,Pirarucu de casaca
Prato Principal,Pescada amarela grelhada com redução de tucupi e jambú
Prato Principal,Filhote Grelhado com molho de alcaparras
Acompanhamentos,Arroz branco
Acompanhamentos,Farofa
Acompanhamentos,Batata Palha
Acompanhamentos,Salada verde
Sobremesas,Creme de cupuaçú com queijo cuia
Sobremesas,Creme de bacuri com castanhas
Sobremesas,Mousse de maracujá brigadeiro meio amargo
Sobremesas,Torta sonho de valsa
Sobremesas,Torta nega maluca
Sobremesas,Torta delicia de cupuaçú
Sobremesas,Torta de morango
Bebidas,Refrigerantes normal
Bebidas,Refrigerantes zero
Bebidas,Suco de acerola
Bebidas,Suco de cupuaçu
Bebidas,Suco de maracujá com manjericão
Bebidas,Suco de taperebá
Bebidas,Suco de abacaxi com hortelã
Bebidas,Suco de goiaba
Bebidas,Suco de muruci
Bebidas,Água mineral
